rssd_id,banks,city,state,consol_assets_bn
139656,EQUITY BK,ANDOVER,Kansas,3.9
522605,BAR HARBOR BK & TR CO,BAR HARBOR,Maine,3.9
479268,BANK OF STOCKTON,STOCKTON,California,3.9
460033,COMMUNITY BK OF MS,FOREST,Mississippi,3.8
2119773,HINSDALE B&TC NA,HINSDALE,Illinois,3.8
925411,SUMITOMO MITSUI TR BK USA,HOBOKEN,New Jersey,3.8
774262,COMMUNITYBANK TX NA,BEAUMONT,Texas,3.8
731247,HILLS B&TC,HILLS,Iowa,3.8
717924,SOUTHERN B&TC,MOUNT OLIVE,North Carolina,3.6
529958,TIB THE INDEP BANKERSBANK NA,FARMERS BRANCH,Texas,3.6
161602,CANANDAIGUA NB&TC,CANANDAIGUA,New York,3.6
704559,CENTRAL BK OF THE MW,LEE'S SUMMIT,Missouri,3.6
876634,CAPITAL CITY BK,TALLAHASSEE,Florida,3.6
1187001,INTERBANK,OKLAHOMA CITY,Oklahoma,3.6
575254,CITY BK,LUBBOCK,Texas,3.5
945053,RCB BK,CLAREMORE,Oklahoma,3.5
1009354,SECURITY BK OF KANSAS CITY,KANSAS CITY,Kansas,3.5
2508751,BARRINGTON B&TC NA,BARRINGTON,Illinois,3.5
913753,INWOOD NB,DALLAS,Texas,3.5
853952,CENTRAL TR BK,JEFFERSON CITY,Missouri,3.4
2938198,NORTHBROOK B&TC NA,NORTHBROOK,Illinois,3.4
933621,BURKE & HERBERT B&TC,ALEXANDRIA,Virginia,3.4
2734729,AMERICAN BUS BK,LOS ANGELES,California,3.3
159636,WILSON B&TC,LEBANON,Tennessee,3.2
707354,FIRST ST CMNTY BK,FARMINGTON,Missouri,3.2
662369,BANK OF THE SIERRA,PORTERVILLE,California,3.2
828651,ANB BK,DENVER,Colorado,3.2
2434113,BANK RHODE ISLAND,PROVIDENCE,Rhode Island,3.2
426534,HEARTLAND B&TC,BLOOMINGTON,Illinois,3.2
984379,ALTABANK,AMERICAN FORK,Utah,3.2
2737980,NORTHPOINTE BK,GRAND RAPIDS,Michigan,3.2
253468,RIVER CITY BK,SACRAMENTO,California,3.1
1007015,CENTRAL B&TC,LEXINGTON,Kentucky,3.1
949154,TEXAS B&TC,LONGVIEW,Texas,3.1
786612,MID PENN BK,MILLERSBURG,Pennsylvania,3.1
507068,EXCHANGE BK,SANTA ROSA,California,3
256553,DACOTAH BK,ABERDEEN,South Dakota,3
439338,UNITED CMNTY BK,CHATHAM,Illinois,3
1015560,INDUSTRIAL & CMRL BK,NEW YORK,New York,3
1867983,CITIZENS FIRST BK,THE VILLAGES,Florida,3
936136,OLD SECOND NB,AURORA,Illinois,3
866000,GLENS FALLS NB&TC,GLENS FALLS,New York,3
1436204,BANK OF MARIN,CORTE MADERA,California,3
680813,FARMERS NB,CANFIELD,Ohio,3
2693264,TOWN BK NA,HARTLAND,Wisconsin,2.9
2353595,FIRST CMNTY BK,BLUEFIELD,Virginia,2.9
2372774,SUMMIT CMNTY BK,MOOREFIELD,West Virginia,2.9
648242,INDEPENDENCE BK OF KY,OWENSBORO,Kentucky,2.9
933256,ALERUS FNCL NA,GRAND FORKS,North Dakota,2.9
56351,VERABANK NA,HENDERSON,Texas,2.9
958727,AMERICAN NB&TC,DANVILLE,Virginia,2.9
374653,FIRST PREMIER BK,SIOUX FALLS,South Dakota,2.9
