date,rssd_id,product,chg_b,chg_s,rolling9q_b,rolling9q_s
2023-06-30,9807,Comm. & Industrial,343.511472,436.8726431,25.70291857,58.22602219
2023-09-30,9807,Comm. & Industrial,343.511472,379.3877247,25.33559809,51.569176
2023-12-31,9807,Comm. & Industrial,345.5470596,342.263872,25.32244998,45.45883753
2024-03-31,9807,Comm. & Industrial,345.4587904,326.2903183,25.4450119,40.14983648
2020-12-31,9807,Comm. Real Estate,23,23,7.988648615,7.988648615
2021-03-31,9807,Comm. Real Estate,1460.592224,8379.608389,8.965022322,15.21518403
2021-06-30,9807,Comm. Real Estate,626.3880719,7819.872483,8.013118618,20.73728492
2021-09-30,9807,Comm. Real Estate,530.2378566,7450.714831,8.399663708,27.30764881
2021-12-31,9807,Comm. Real Estate,477.4355887,6701.542019,7.295516452,31.67168857
2022-03-31,9807,Comm. Real Estate,582.2424376,6411.821042,6.281700202,35.65171872
2022-06-30,9807,Comm. Real Estate,710.9223918,5175.599985,5.378468261,38.35735784
2022-09-30,9807,Comm. Real Estate,826.356671,4278.772955,5.990792511,41.58874246
2022-12-31,9807,Comm. Real Estate,964.2342155,3486.011245,5.326015758,42.70746571
2023-03-31,9807,Comm. Real Estate,1062.200681,2890.893046,6.156982626,44.72350883
2023-06-30,9807,Comm. Real Estate,1062.199624,2369.476496,5.760516361,39.22002606
2023-09-30,9807,Comm. Real Estate,1131.973837,1796.96303,6.12542944,33.81397145
2023-12-31,9807,Comm. Real Estate,1146.067336,1356.868352,6.574255885,28.45449022
2024-03-31,9807,Comm. Real Estate,1285.615355,1057.709125,7.171700493,23.56615814
2020-12-31,9807,Jr Mortgage & HELOC,40.6375,40.6375,5.834391301,5.834391301
2021-03-31,9807,Jr Mortgage & HELOC,32.08143164,153.6986064,5.826713641,8.003465784
2021-06-30,9807,Jr Mortgage & HELOC,22.74234077,181.0218991,5.655101492,10.80007386
2021-09-30,9807,Jr Mortgage & HELOC,13.63985216,197.039629,5.303663254,14.05890583
2021-12-31,9807,Jr Mortgage & HELOC,8.0936746,200.0357425,4.810278964,17.51397756
2022-03-31,9807,Jr Mortgage & HELOC,5.46578929,206.2219499,4.880345323,21.96133303
2022-06-30,9807,Jr Mortgage & HELOC,3.093111495,199.974777,4.261293517,25.93275933
2022-09-30,9807,Jr Mortgage & HELOC,0.592829943,194.2546134,3.534292837,29.91783975
2022-12-31,9807,Jr Mortgage & HELOC,0.372821852,170.1812525,2.764565322,33.66420843
2023-03-31,9807,Jr Mortgage & HELOC,2.56069098,147.511533,1.990486673,37.0497448
2023-06-30,9807,Jr Mortgage & HELOC,2.56069098,127.1220869,1.367635827,37.5524761
2023-09-30,9807,Jr Mortgage & HELOC,4.493352592,104.5799711,0.974896187,36.8970908
2023-12-31,9807,Jr Mortgage & HELOC,2.468286647,85.46656255,0.731172482,35.33478807
2024-03-31,9807,Jr Mortgage & HELOC,4.180940168,65.47652192,0.655904261,33.08423377
2020-12-31,9807,Credit Cards,0,0,0,0
2021-03-31,9807,Credit Cards,0,0,0,0
2021-06-30,9807,Credit Cards,0,0,0,0
2021-09-30,9807,Credit Cards,0.00160278,0,0,0
2021-12-31,9807,Credit Cards,0,0,0,0
2022-03-31,9807,Credit Cards,0,0,0,0
2022-06-30,9807,Credit Cards,0,0,0,0
2022-09-30,9807,Credit Cards,0,0,0,0
2022-12-31,9807,Credit Cards,0,0,0,0
2023-03-31,9807,Credit Cards,0,0,0,0
2023-06-30,9807,Credit Cards,0,0,0,0
2023-09-30,9807,Credit Cards,0,0,0,0
2023-12-31,9807,Credit Cards,0,0,0,0
2024-03-31,9807,Credit Cards,0,0,0,0
2020-12-31,12311,Comm. & Industrial,82482,82482,20.79640178,20.79640178
2021-03-31,12311,Comm. & Industrial,67911.9204,77642.92128,22.85877349,23.29874536
